1.055,3.180357143
1.051785714,3.077142857
1.048571429,2.973928571
1.04,2.870714286
1.04,2.7675
1.04,2.664285714
1.04,3
1.04,2.2
1.04,2.12
1.01,2.12
1.01,2.12
1.03,2.09
1.01,2.11
1.01,2.12
1.01,2.09
1.01,2.09
1.01,2.09
1.01,2.09
0.1,2.09
0.92,2.09
1,2.09
0.98,877.38
1.01,89.62
0.98,10.84
0.98,2.97
0.98,2.18
1.01,2.1
0.98,2.09
0.98,2.09
0.98,2.09
0.98,2.09
0.98,2.09
0.98,2.07
0.98,2.09
0.98,2.09
0.98,2.07
0.1,2.07
0.89,2.07
0.97,2.07
0.98,867.46
0.98,88.61
0.98,10.72
0.98,2.91
0.98,2.13
0.98,2.05
0.98,2.04
0.98,2.04
0.96,2.04
0.98,2.04
0.98,2.04
0.96,2.04
0.98,2.04
0.98,2.04
0.96,2.04
0.1,2.04
0.87,2.04
0.94,2.02
0.93,847.42
0.95,86.56
0.93,10.47
0.93,2.87
0.93,2.1
0.93,2.01
0.93,2
0.93,2
0.93,2
0.93,2
0.93,2
0.93,2
0.93,2
0.93,2
0.93,2
0.09,2
0.84,2
0.92,2
0.93,837.4
0.93,85.54
0.9,10.35
0.92,2.83
0.9,2.08
0.9,2.01
0.92,1.98
0.9,2
0.92,1.98
0.9,1.98
0.9,1.98
0.92,1.98
0.9,1.98
0.92,1.98
0.93,1.98
0.09,1.98
0.84,1.98
0.92,1.98
0.93,829.48
0.93,84.73
0.9,10.25
0.92,2.81
0.93,2.06
0.9,1.99
0.92,1.98
0.9,1.98
0.9,1.98
0.9,1.96
0.9,1.98
0.9,1.96
0.9,1.95
0.9,1.95
0.9,1.95
0.09,1.95
0.79,1.95
0.89,1.95
0.87,819.46
0.87,83.7
0.87,10.13
0.87,2.77
0.87,2.04
0.87,1.94
0.87,1.95
0.85,1.95
0.87,1.93
0.87,1.95
0.87,1.93
0.9,1.93
0.87,1.93
0.87,1.93
0.87,1.93
0.09,1.93
0.77,1.93
0.86,1.93
0.84,809.44
0.84,82.68
0.84,10.01
0.84,2.74
0.82,1.99
0.84,1.91
0.84,1.91
0.84,1.91
0.84,1.91
0.82,1.91
0.82,1.91
0.84,1.91
0.82,1.91
0.82,1.91
0.82,1.91
0.08,1.91
0.74,1.91
0.81,1.91
0.79,789.49
0.79,80.64
0.79,9.76
0.79,2.67
0.79,1.96
0.76,1.89
0.79,1.88
0.76,1.88
0.76,1.88
0.79,1.86
0.76,1.88
0.76,1.86
0.76,1.86
0.79,1.86
0.76,1.86
0.08,1.86
0.69,1.86
0.75,1.86
0.76,779.47
0.74,79.6
0.76,9.61
0.76,2.61
0.74,1.93
0.73,1.84
0.76,1.84
0.74,1.84
0.73,1.84
0.73,1.84
0.73,1.84
0.73,1.84
0.73,1.84
0.73,1.84
0.73,1.84
0.07,1.84
0.67,1.84
0.7,1.84
0.71,769.43
0.68,78.57
0.68,9.49
0.7,2.58
0.68,1.89
0.68,1.82
0.68,1.81
0.68,1.81
0.68,1.81
0.7,1.81
0.68,1.81
0.68,1.81
0.68,1.81
0.7,1.81
0.68,1.81
0.07,1.81
0.64,1.81
0.67,1.81
0.71,749.51
0.68,76.56
0.68,9.26
0.68,2.53
0.7,1.86
0.68,1.79
0.7,1.79
0.71,1.79
0.68,1.79
0.68,1.79
0.7,1.79
0.71,1.79
0.71,1.79
0.71,1.79
0.71,1.79
0.07,1.79
0.64,1.79
0.7,1.79
0.71,741.49
0.68,75.76
0.68,9.17
0.7,2.52
0.68,1.86
0.7,1.78
0.68,1.77
0.68,1.79
0.7,1.77
0.71,1.77
0.68,1.77
0.68,1.77
0.68,1.77
0.68,1.77
0.68,1.77
0.07,1.77
0.59,1.77
0.67,1.77
0.62,741.49
0.65,75.74
0.65,9.17
0.63,2.51
0.65,1.84
0.63,1.78
0.62,1.77
0.65,1.77
0.63,1.77
0.65,1.77
0.63,1.77
0.65,1.77
0.65,1.77
0.63,1.77
0.65,1.77
0.06,1.77
0.59,1.77
0.64,1.77
0.65,749.51
0.65,76.56
0.65,9.26
0.65,2.53
0.63,1.86
0.6,1.79
0.62,1.79
0.6,1.79
0.6,1.79
0.6,1.79
0.6,1.79
0.6,1.79
0.6,1.79
0.62,1.79
0.6,1.79
0.06,1.79
0.57,1.79
0.62,1.79
0.6,749.51
0.62,76.56
0.6,9.26
0.6,2.53
0.62,1.86
0.6,1.79
0.62,1.79
0.62,1.79
0.6,1.79
0.62,1.79
0.6,1.79
0.6,1.79
0.62,1.79
0.6,1.79
0.6,1.77
0.06,1.79
0.54,1.77
0.59,1.77
0.57,741.49
0.57,75.74
0.59,9.17
0.57,2.51
0.59,1.84
0.57,1.78
0.57,1.77
0.57,1.77
0.57,1.77
0.57,1.77
0.57,1.77
0.57,1.77
0.57,1.77
0.54,1.77
0.57,1.77
0.06,1.77
0.49,1.77
0.54,1.77
0.54,731.47
0.52,74.72
0.54,9.04
0.52,2.47
0.54,1.82
0.54,1.75
0.52,1.74
0.54,1.74
0.52,1.74
0.51,1.74
0.54,1.74
0.52,1.74
0.51,1.74
0.51,1.74
0.49,1.74
0.05,1.74
0.44,1.74
0.48,1.74
0.49,731.47
0.49,74.72
0.49,9.04
0.49,2.47
0.49,1.82
0.49,1.75
0.49,1.74
0.49,1.74
0.49,1.74
0.49,1.74
0.49,1.74
0.49,1.74
0.49,1.74
0.51,1.74
0.49,1.74
0.05,1.74
0.47,1.74
0.48,1.74
0.49,721.55
0.49,73.7
0.49,8.92
0.49,2.44
0.49,1.79
0.49,1.73
0.46,1.72
0.48,1.72
0.46,1.72
0.48,1.72
0.46,1.72
0.46,1.72
0.46,1.72
0.46,1.72
0.48,1.72
0.05,1.72
0.44,1.72
0.48,1.72
0.49,721.55
0.49,73.7
0.49,8.92
0.49,2.44
0.49,1.77
0.49,1.73
0.49,1.72
0.49,1.7
0.49,1.72
0.49,1.72
0.49,1.7
0.46,1.7
0.48,1.7
0.46,1.72
0.46,1.7
0.05,1.7
0.42,1.72
0.48,1.7
0.46,721.55
0.48,73.7
0.46,8.92
0.46,2.44
0.48,1.79
0.46,1.73
0.46,1.72
0.46,1.72
0.46,1.72
0.46,1.72
0.46,1.72
0.46,1.72
0.46,1.72
0.46,1.72
0.46,1.72
0.05,1.72
0.39,1.72
0.45,1.72
0.43,721.55
0.43,73.7
0.43,8.92
0.43,2.44
0.43,1.79
0.41,1.73
0.43,1.72
0.43,1.72
0.43,1.72
0.43,1.72
0.43,1.72
0.43,1.72
0.43,1.72
0.43,1.72
0.43,1.72
0.04,1.72
0.39,1.72
0.43,1.72
0.43,721.55
0.41,73.7
0.43,8.92
0.41,2.44
0.4,1.79
0.43,1.73
0.41,1.72
0.43,1.72
0.43,1.72
0.43,1.72
0.43,1.72
0.43,1.7
0.43,1.72
0.41,1.72
0.43,1.7
0.04,1.72
0.39,1.7
0.4,1.72
0.43,711.53
0.43,72.68
0.41,8.79
0.43,2.41
0.41,1.77
0.43,1.7
0.41,1.7
0.4,1.7
0.4,1.7
0.4,1.7
0.4,1.7
0.38,1.7
0.4,1.7
0.4,1.7
0.4,1.7
0.04,1.7
0.34,1.7
0.4,1.7
0.38,701.51
0.38,71.66
0.38,8.67
0.35,2.37
0.37,1.74
0.37,1.68
0.38,1.67
0.38,1.67
0.38,1.67
0.38,1.67
0.35,1.67
0.37,1.67
0.37,1.67
0.38,1.67
0.38,1.67
0.04,1.67
0.34,1.67
0.37,1.67
0.38,691.48
0.38,70.63
0.38,8.55
0.38,2.34
0.38,1.72
0.38,1.66
0.38,1.65
0.35,1.65
0.37,1.65
0.35,1.65
0.37,1.65
0.37,1.65
0.35,1.65
0.37,1.65
0.35,1.65
0.04,1.65
0.34,1.65
0.35,1.65
0.32,681.56
0.34,69.62
0.35,8.45
0.32,2.31
0.35,1.69
0.32,1.65
0.32,1.63
0.34,1.63
0.32,1.63
0.35,1.63
0.277822625,45.41148216
